"id","name","symbol","volume24h"
1582,First Digital USD,FDUSD,7412237054.568771
1583,BNB,BNB,3315500186.6801476
1584,"48 Club Token",KOGE,688219040.5896609
1585,Marina Protocol,BAY,631972933.8468804
1586,Nubila Network,NB,387257443.8888502
1587,Allora,ALLO,250753001.27208203
1588,Kite,KITE,226884313.00203145
1589,MetaArena,TIMI,226863749.89064983
1590,Momentum,MMT,189662076.59569636
1591,Mantle,MNT,140420771.3777646
1592,Horizen,ZEN,98393169.07100025
1593,UnifAI Network,UAI,91133105.23701793
1594,Planck,PLANCK,86010865.79152755
1595,OVERTAKE,TAKE,81702310.01753446
1596,EUR CoinVertible,EURCV,78744282.10079493
1597,Piggycell,PIGGY,68762883.38052367
1598,Jupiter Perps LP,JLP,65099169.10530982
1599,Yooldo,ESPORTS,57996732.9385615
1600,LayerZero,ZRO,51205561.12077244
1601,Neiro,NEIRO,47796372.25190964
1602,EVAA Protocol,EVAA,46594955.59640153
1603,Janction,JCT,46165017.19707377
1604,Canton,CC,44844526.58327404
1605,MetYa,MY,43906399.73228172
1606,dYdX,DYDX,37716644.40832378
1607,NEXPACE,NXPC,37445785.10764776
1608,币安人生,币安人生,36901432.47022736
1609,Tesla tokenized stock (xStock),TSLAX,36813766.23438169
1610,Humanity Protocol,H,35644505.51458863
1611,Global Dollar,USDG,34443796.14311644
1612,MYX Finance,MYX,32743907.40330324
1613,Aria Protocol,ARIAIP,31806223.14096699
1614,Safe,SAFE,31783974.91239019
1615,APRO,AT,31782746.31879862
1616,dYdX (ethDYDX),ETHDYDX,31646711.71563325
1617,GAIA,GAIA,30779807.27554636
1618,elizaOS,ELIZAOS,30232110.49653055
1619,Surge,SURGE,29930411.30807573
1620,AB,AB,29637100.15310624
1621,Chiliz,CHZ,29027191.66259266
1622,SynFutures,F,28126775.11112994
1623,AUSD,AUSD,27903169.48048205
1624,OpenEden,EDEN,27477768.99370413
1625,VNDC,VNDC,27421450.69088724
1626,Sky,SKY,26915905.70485445
1627,Walrus,WAL,24575978.90720318
1628,Circle tokenized stock (xStock),CRCLX,22613078.31500722
1629,MemeCore,M,22109251.84652036
1630,BitTorrent [New],BTT,21912519.01821066
1631,OpenLedger,OPEN,21219503.21106836
1632,"4","4",20833356.23360591
1633,Uchain,UCN,20539050.91743425
1634,Four,FORM,20386851.25702316
1635,Intuition,TRUST,19667644.45487342
1636,Animecoin,ANIME,19633265.27778769
1637,MyShell,SHELL,19134349.04872012
1638,Folks Finance,FOLKS,18908997.59280933
1639,USD CoinVertible,USDCV,17484278.26256897
1640,StandX DUSD,DUSD,17173052.14564771
1641,Ore,ORE,17162857.14221208
1642,Infinity Ground,AIN,17111678.69466057
1643,Forest Protocol,FOREST,16735043.67975539
1644,Non-Playable Coin,NPC,15873507.14775082
1645,哈基米,哈基米,15535063.73075821
1646,Kusama,KSM,14311073.24896137
1647,Ribbita by Virtuals,TIBBIR,13676457.16570295
1648,Creditlink,CDL,13622413.97407272
1649,Ankr,ANKR,13525324.07753627
1650,Epic Chain,EPIC,12570262.70075467
1651,HarryPotterObamaSonic10Inu (ERC-20),BITCOIN,12299895.14978893
1652,ARAI,AA,12237305.31165168
1653,BUILDon,B,11298586.79540567
1654,Apple tokenized stock (xStock),AAPLX,9901727.27582104
1655,RedStone,RED,9861138.57975871
1656,Eurite,EURI,9392133.32938182
1657,Cobak Token,CBK,9330195.08819356
1658,Dusk,DUSK,9186271.64805432
1659,XPIN Network,XPIN,8468683.26593939
1660,Simon's Cat,CAT,8436271.08144479
1661,Union,U,7958876.63127664
1662,Mayflower AI,MAY,7952374.68224354
1663,Sperax,SPA,7921668.64140997
1664,DarkStar,DARKSTAR,7898473.20628207
1665,Cryptex Finance,CTX,7873812.0030417
1666,"375ai",EAT,7571731.88808536
1667,SuperTrust,SUT,7547959.49110624
1668,MEET48,IDOL,7165336.61765307
1669,Quack AI,Q,6982835.29282661
1670,U.S. Dollar Tokenized Currency (Ondo),USDON,6586238.51933359
1671,Meta tokenized stock (xStock),METAX,6547050.72958085
1672,GamerCoin,GHX,6456480.37492482
1673,Sologenic,SOLO,6194542.69426809
1674,Gravity (by Galxe),G,6187863.81674428
1675,PlaysOut,PLAY,5420915.09535618
1676,Mango Network,MGO,5400605.11711654
1677,Yala,YALA,5281525.45087594
1678,Solar,SXP,5018506.92981949
1679,Legacy Token,LGCT,4886833.72586486
1680,Fellaz,FLZ,4823214.16034021
1681,RHEA Finance,RHEA,4391345.4592396
1682,pSTAKE Finance,PSTAKE,4390998.18442209
1683,MicroStrategy tokenized stock (xStock),MSTRX,4306668.89099183
1684,Heima,HEI,4247566.17035162
1685,Polyhedra Network,ZKJ,4212862.50230247
1686,WeFi,WFI,4153301.1563878
1687,MultiBank Group,MBG,4044667.84386321
1688,BTSE Token,BTSE,3960266.68274529
1689,Tagger,TAG,3894427.7700977
1690,Wilder World,WILD,3888252.66262556
1691,Falcon USD,USDF,3815742.86325752
1692,OKZOO,AIOT,3806574.79096811
1693,Bitlayer,BTR,3741092.90309423
1694,AKEDO,AKE,3713189.56756503
1695,GOHOME,GOHOME,3467159.59150553
1696,Unstable Coin (usduc.org),USDUC,3449140.31207613
1697,StorX Network,SRX,3370187.15158024
1698,MetaMask USD,MUSD,3354074.86742997
1699,X Empire,X,3229643.40921399
1700,MARBLEX,MBX,3189115.91384084
1701,Argentine Football Association Fan Token,ARG,3161147.22830805
1702,Xertra,STRAX,3157512.95184806
1703,dKargo,DKA,2999070.12556627
1704,noice,NOICE,2990457.23665041
1705,InfinitiCoin,INCO,2948764.92479021
1706,SwissBorg,BORG,2937093.016654
1707,ECOMI,OMI,2900883.85067909
1708,Semantic Layer,"42",2876986.04903477
1709,Dino Tycoon,TYCOON,2825193.92925826
1710,Fireverse,FIR,2775635.66413212
1711,Lit Protocol,LITKEY,2696341.56228333
1712,Wibegram,WIBE,2632524.50794661
1713,TokenFi,TOKEN,2608010.0351244
1714,Orochi Network,ON,2583610.34617886
1715,Moby,MOBY,2579120.33112334
1716,Nasdaq tokenized ETF (xStock),QQQX,2501468.28307677
1717,SentismAI,SENTIS,2434615.41189751
1718,Invesco QQQ Tokenized ETF (Ondo),QQQON,2431389.49326667
1719,GHO,GHO,2369612.92727993
1720,CREPE,CREPE,2272246.8828841
1721,Tesla Tokenized Stock (Ondo),TSLAON,2264483.45104147
1722,LumiWave,LWA,2228421.97862441
1723,FogSwap,FOG,2198383.62516798
1724,USDai,USDAI,2120790.18979018
1725,Torch of Liberty,LIBERTY,2036785.56378546
1726,Australian Digital Dollar,AUDD,2020792.78038444
1727,GameBuild,GAME,1979932.35585878
1728,Aura,AURA,1973788.29553266
1729,Tether Gold Tokens,XAUT0,1955003.23359721
1730,Naoris Protocol,NAORIS,1940157.04630956
1731,Validity,VAL,1912572.18999702
1732,Adshares,ADS,1897703.74968716
1733,PUP (pupxbnb.com),PUP,1878260.53029254
1734,Ondo US Dollar Yield,USDY,1874661.61334457
1735,PublicAI,PUBLIC,1874593.7438426
1736,Definitive,EDGE,1871400.87055243
1737,SP500 tokenized ETF (xStock),SPYX,1834200.965046
1738,客服小何,客服小何,1767692.19536484
1739,FirmaChain,FCT,1692850.97328366
1740,GhostwareOS,GHOST,1651405.47396612
1741,NetMind Token,NMT,1620059.1509024
1742,Mansory,MNSRY,1579161.93594464
1743,SPDR S&P 500 Tokenized ETF (Ondo),SPYON,1542417.63291794
1744,U2U Network,U2U,1522529.32357989
1745,Pythia,PYTHIA,1517556.81557549
1746,Freysa,FAI,1512574.38717997
1747,c8ntinuum,CTM,1508952.37748649
1748,Klickl Token,KLK,1505161.64470069
1749,Isiklar Coin,ISIKC,1443964.22003913
1750,Comtech Gold,CGO,1391110.81868489
1751,OpenVPP,OVPP,1359629.7087914
1752,Hoppy,HOPPY,1357249.64327307
1753,BORA,BORA,1340368.47049681
1754,The Official 67 Coin,"67",1339437.49586863
1755,HOSKY Token,HOSKY,1221729.89449546
1756,Landwolf 0x67,WOLF,1216071.8984958
1757,GeorgePlaysClashRoyale,CLASH,1165378.07175616
1758,ZERA,ZERA,1135693.20585113
1759,ASD,ASD,1128889.81111805
1760,KARRAT,KARRAT,1126743.69547489
1761,PussFi,PUSS,1123006.53124627
1762,Mamo,MAMO,1122078.09039137
1763,APX,APX,1098492.05287186
1764,Loaded Lions,LION,1088507.23576894
1765,Beefy,BIFI,1079272.02042529
1766,DAR Open Network,D,1067326.2218929
1767,DOWGE,DJI6930,1056384.77174094
1768,Chintai,CHEX,1052342.28931673
1769,nubcat,NUB,1047907.56591078
1770,Bitrue Coin,BTR,1034262.01864699
1771,Stronghold SHx,SHX,982641.76291937
1772,Tharwa,TRWA,981329.23206869
1773,Bifrost,BNC,960175.63761567
1774,CreatorBid,BID,928477.02305521
1775,Jager Hunter,JAGER,924606.3256916
1776,Apertum,APTM,909537.21617573
1777,Quai Network,QUAI,889807.49887656
1778,PinLink,PIN,881116.09572014
1779,Moss Coin,MOC,879525.69327816
1780,doginme,DOGINME,874108.65497566
1781,Tokamak Network,TOKAMAK,873866.14303918
1782,My Lovely Planet,MLC,871751.82821723
1783,Purple Pepe,$PURPE,861485.52293407
1784,Shuffle,SHFL,845044.51662439
1785,USDB,USDB,840731.86449238
1786,XBorg,XBG,834443.28242915
1787,Arsenal Fan Token,AFC,802868.29939337
1788,Xphere,XP,797655.86906679
1789,Matrixdock Gold,XAUM,757877.16234666
1790,Keyboard Cat,KEYCAT,743791.58334212
1791,BitDCA,BDCA,740100.01882073
1792,PLAYA3ULL GAMES,"3ULL",701374.02775403
1793,GEODNET,GEOD,690795.85058309
1794,IMPT,IMPT,689163.64517211
1795,MetaMUI,MMUI,676877.81148624
1796,Quidax Token,QDX,672798.55544892
1797,Chainbounty,BOUNTY,656628.7999481
1798,Brickken,BKN,648264.95311108
1799,Assemble AI,ASM,648192.51224317
1800,San Chan,SAN,626055.9104407
1801,ELYSIA,EL,623234.57520564
1802,Fartboy,FARTBOY,603529.13685207
1803,Rollbit Coin,RLB,583060.32472112
1804,Ailey,ALE,573892.57250435
1805,KUB Coin,KUB,572878.57937229
1806,Nosana,NOS,554902.54119493
1807,Xcellar,XCL,537182.11965928
1808,Hey Anon,ANON,516292.94640628
1809,Wexo,WEXO,496716.79053894
1810,EscoinToken,ELG,484425.27577475
1811,Graphite Protocol,GP,476908.92308565
1812,TRUF.Network,TRUF,476248.64153825
1813,PolySwarm,NCT,470671.93000398
1814,Hippo Protocol,HP,463018.88612006
1815,TOWER,TOWER,460693.45550533
1816,Mey Network,MEY,457515.26519257
1817,SIX Token,SIX,456820.94787491
1818,BlackFort Exchange Network,BXN,456275.02177734
1819,EDENA,EDENA,454655.87932238
1820,B-Lucky,LUCKY,450581.9467364
1821,Faith Tribe,FTRB,442354.34571021
1822,Sogni AI,SOGNI,437777.33193973
1823,Metadium,META,429769.08626795
1824,Burnedfi,BURN,425152.76474131
1825,iShares Core S&P Total US Stock Market Tokenized ETF (Ondo),ITOTON,424258.89406164
1826,MSQUARE GLOBAL,MSQ,413637.84265211
1827,DACXI,DXI,410986.6537374
1828,Law Blocks (AI),LBT,409104.25598307
1829,Fair and Free,FAIR3,406763.25184145
1830,PePeonTron,PEPEONTRON,406653.7914397
1831,Gearbox Protocol,GEAR,398553.20233653
1832,MCOIN,MCOIN,394826.53230956
1833,REDX,REDX,391771.36373075
1834,Laqira Protocol,LQR,391523.33017445
1835,Aster USDF,USDF,387060.45409766
1836,Inter Milan Fan Token,INTER,376045.43790411
1837,Decimal,DEL,355331.29259911
1838,Kasta,KASTA,352593.56158099
1839,Vader,VADER,348103.22825837
1840,BIM,BIM,347381.07585962
1841,AI Analysis Token,AIAT,347123.50124447
1842,MediBloc,MED,342989.80674691
1843,XDAG,XDAG,342269.27281586
1844,MESSIER,M87,339974.48010877
1845,Wall Street Pepe,WEPE,339490.3344463
1846,Freedom Dollar,FUSD,334448.95571488
1847,Redbelly Network,RBNT,332625.03677567
1848,Ambire Wallet,WALLET,331390.81894239
1849,Paycoin,PCI,329543.30714847
1850,MEVerse,MEV,327589.26583397
1851,Galatasaray Fan Token,GAL,326409.54340001
1852,SPECTRE AI,SPECTRE,323139.09499916
1853,AhaToken,AHT,322632.16752184
1854,iMe Lab,LIME,321813.23061558
1855,MAGIC•INTERNET•MONEY (Bitcoin),MIM,321414.60990085
1856,SLIMEX,SLX,320206.68104531
1857,BioPassport Token,BIOT,320163.60027509
1858,XSGD,XSGD,317744.65106143
1859,Tornado Cash,TORN,316790.74232715
1860,WHY,WHY,312350.06706409
1861,Lucidum Coin,LUCIC,308783.39484177
1862,PepeCoin,PEPECOIN,307734.48963432
1863,Propchain,PROPC,306057.52081084
1864,Purple Bitcoin,PBTC,305027.21589544
1865,HashAI,HASHAI,300754.89543033
1866,Altcoinist,ALTT,299525.38875739
1867,SquidGrow,SQGROW,298218.16130587
1868,OpenServ,SERV,296134.77420326
1869,SLT,SLT,290807.2131618
1870,Araracoin,ARARA,289569.46607534
1871,Pundi AI,PUNDIAI,287963.97259551
1872,Smart Pocket,SP,283327.65496096
1873,Public Masterpiece Token,PMT,282736.40564693
1874,Humans.ai,HEART,279220.94872968
1875,TrustSwap,SWAP,277038.02080024
1876,FEED EVERY GORILLA,FEG,276690.26864153
1877,Opus,OPUS,272999.63014069
1878,Pepe Unchained (New),PEPU,272484.43771327
1879,Derive,DRV,267990.40825231
1880,Autonolas,OLAS,266083.28588302
1881,PAID,PAID,265334.92916177
1882,Coral Protocol,CORAL,261283.77531842
1883,YURU COIN,YURU,257049.92160296
1884,Aleph Cloud,ALEPH,252225.97973059
1885,Book of Ethereum,BOOE,251093.46110874
1886,Swarm,BZZ,250203.35543634
1887,UNIPOLY,UNP,249264.8270329
1888,Sharp,SHARP,247459.80337021
1889,ViciCoin,VCNT,246670.15799104
1890,VNX Swiss Franc,VCHF,244699.16377714
1891,Planet IX(formerly IX token),IXT,240986.97886756
1892,LOAN Protocol,LOAN,240621.49845813
1893,ORIGYN,OGY,240461.97787668
1894,SuperWalk,GRND,240211.81958301
1895,Star Atlas DAO,POLIS,236718.993688
1896,Stride,STRD,234797.31666317
1897,Rezor,RZR,234332.20070014
1898,STAT,STAT,229664.78332646
1899,Eli Lilly Tokenized Stock (Ondo),LLYON,226097.44861682
1900,Portugal National Team Fan Token,POR,225025.55790863
1901,Morphware,XMW,224932.47210741
1902,Orizon,ORI,215531.02851958
1903,Amaterasu Omikami,OMIKAMI,214411.77331177
1904,Epic Cash,EPIC,213610.1851512
1905,Lumera Health,LUR,210735.34316685
1906,Liquity BOLD,BOLD,209645.28203682
1907,Gelato,GEL,202739.19767954
1908,fanC,FANC,189298.01985299
1909,WELF,WELF,188375.62081834
1910,KONET,KONET,184829.98503052
1911,Alltoscan,ATS,182363.65012243
1912,MindWaveDAO,NILA,177172.63099002
1913,Auki,AUKI,176973.80248535
1914,CoinEx Token,CET,176914.64954212
1915,Vameon,VON,175313.72575386
1916,HOPR,HOPR,171841.5071404
1917,Quantum Resistant Ledger,QRL,171018.49873295
1918,Kryll,KRL,170957.73773541
1919,Nexa (nexaagent.xyz),NXA,170785.64170044
1920,iShares Core MSCI EAFE Tokenized ETF (Ondo),IEFAON,170594.51915624
1921,Phoenix,PHNIX,168212.14421258
1922,Gochujangcoin,GOCHU,163548.6365818
1923,Pepecoin,PEP,160917.73970859
1924,IXS,IXS,160579.47968432
1925,Coinweb,CWEB,157855.95356994
1926,ROGin AI,ROG,154824.0567088
1927,AIVille Governance Token,AIV,154557.5209939
1928,Dohrnii,DHN,154289.10412406
1929,RIZE,RIZE,153871.37351001
1930,Hydranet,HDN,152323.99454323
1931,NeuralAI,NEURAL,150745.55205555
1932,Polaris Share,POLA,150693.57109698
1933,Vow,VOW,145355.39560591
1934,tao.bot,TAOBOT,143712.10112676
1935,SHPING,SHPING,143366.68530308
1936,Roaring Kitty,ROAR,142013.69545016
1937,Tenset,"10SET",141301.57582942
1938,DRX Token,DRX,138625.96598019
1939,Inverse Finance,INV,136486.33848665
1940,Colony,CLY,136447.68632001
1941,Creta World,CRETA,135475.9766669
1942,Blockchain Foundation for Innovation & Collaboration,BFIC,135041.31913399
1943,Galeon,GALEON,132786.00027888
1944,Tarot,TAROT,127425.63001301
1945,IAGON,IAG,125820.82676738
1946,KiboShib,KIBSHI,125743.16686261
1947,Braintrust,BTRST,124722.43050666
1948,Delabs Games,DELABS,117327.44461712
1949,Tokemak,TOKE,114014.3526812
1950,FONSmartChain,FON,112726.93420867
1951,Nine Chronicles,WNCG,112519.38774541
1952,VICE Token,VICE,111590.41633617
1953,Pitbull,PIT,110604.28297241
1954,Node AI,GPU,110548.03215545
1955,Sentinel,P2P,109781.76892759
1956,Patriot,PATRIOT,105744.89095106
1957,BORGY,BORGY,103118.09906311
1958,Omnity Convertible Token,OCT,103092.6090561
1959,MileVerse,MVC,102348.23447313
1960,Abelian,ABEL,101314.80683239
1961,MNEE,MNEE,100769.29438192
1962,Financie Token,FNCT,99514.34062949
1963,Peercoin,PPC,95243.49716404
1964,Aurory,AURY,90298.54983088
1965,SpaceN,SN,90196.04302878
1966,The Arena,ARENA,89933.15526713
1967,Midas The Minotaur,MIDAS,89266.91549778
1968,TokenPocket,TPT,86489.79945319
1969,Step Finance,STEP,86335.65750294
1970,iShares Core MSCI Emerging Markets Tokenized ETF (Ondo),IEMGON,85409.30912228
1971,Oho,OHO,83500.15740106
1972,McDull,MCDULL,81075.58487263
1973,WazirX,WRX,78931.66806979
1974,Young,YNG,78207.36340931
1975,Tectonic,TONIC,76713.89941311
1976,Alkimi,ADS,74656.22014243
1977,iShares Gold Trust Tokenized ETF (Ondo),IAUON,67731.91966434
1978,CONX,CONX,66638.1862777
1979,Vertical AI,VERTAI,66352.69456677
1980,Botto,BOTTO,66143.15600412
1981,Aegis YUSD,YUSD,63490.35076243
1982,Nexa,NEXA,62399.04646041
1983,Pkoin,PKOIN,61666.45161724
1984,Observer,OBSR,61187.81797119
1985,WhiteCoin,XWC,61086.88133019
1986,Freya Protocol,FREYA,61016.96529917
1987,Pups (Bitcoin),PUPS,60764.3358613
1988,TG Casino,TGC,60112.04356281
1989,iShares 20+ Year Treasury Bond Tokenized ETF (Ondo),TLTON,56916.38237701
1990,Aventus,AVT,56509.50114165
1991,Minswap,MIN,56255.84413619
1992,Bellscoin,BELLS,54096.70669703
1993,Not Pixel,PX,53447.96036233
1994,Mochimo,MCM,53390.72596535
1995,Sovryn,SOV,51878.13940082
1996,HyperChainX,HPX,50387.79483501
1997,GOUT,GOUT,45916.22830577
1998,Vultisig,VULT,45196.79818081
1999,Camino Network,CAM,45131.14481094
2000,Mistery On Cro,MERY,44597.45543306
2001,ZUSD,ZUSD,43534.43984712
2002,Emirex Token,EMRX,43192.39897322
2003,Saito,SAITO,42569.3600046
2004,Minutes Network Token,MNTX,42498.97843793
2005,Magpie,MGP,41525.0052057
2006,Ycash (y.cash),YEC,41485.53819457
2007,XELIS,XEL,41348.56407836
2008,Yala,YU,39905.32493352
2009,Anchored Coins AEUR,AEUR,38641.5850578
2010,Frax USD,FRXUSD,36740.35417961
2011,STUFF.io,STUFF,34598.57130045
2012,Lion Cat,LCAT,34269.91760193
2013,WeBuy,WE,33401.10259491
2014,Baanx,BXX,32322.39424714
2015,Namecoin,NMC,32119.92856765
2016,Osaka Protocol,OSAK,31922.89116129
2017,Cook Finance,COOK,31224.40208661
2018,DEXTools,DEXT,31084.56783528
2019,Diamond,DMD,31048.8314508
2020,MiraclePlay,MPT,30640.51899414
2021,Liqwid Finance,LQ,24401.44513861
2022,Grin,GRIN,22577.10522046
2023,Global Commercial Business,GCB,20192.45441882
2024,MonaCoin,MONA,19689.71137859
2025,MWX Token,MWXT,18467.79452489
2026,BasedAI,BASEDAI,18063.64023636
2027,Vertcoin,VTC,18019.76255523
2028,Dero,DERO,16275.2173888
2029,BNBTiger,BNBTIGER,14167.0060839
2030,ChangeNOW Token,NOW,13686.87912198
2031,zKML,ZKML,13611.90893376
2032,Save,SAVE,12245.87942114
2033,Keep Network,KEEP,12094.47565556
2034,ZClassic,ZCL,11029.05294662
2035,ParagonsDAO,PDT,10526.64695738
2036,"0x0.ai","0X0",9712.71617734
2037,Pikaboss,PIKA,9130.10875793
2038,r/CryptoCurrency Moons,MOON,8812.90437726
2039,UNCX Network,UNCX,8782.33901567
2040,Croatian Football Federation Token,VATRENI,8643.82834891
2041,iShares Silver Trust Tokenized ETF (Ondo),SLVON,8351.40744316
2042,Jesus Coin,JESUS,8343.5108057
2043,Indigo Protocol,INDY,8219.44435469
2044,Pluton,PLU,8136.98819988
2045,Equilibria Finance,EQB,7855.47405534
2046,Mango,MNGO,7633.16895891
2047,Aura Finance,AURA,6698.33254883
2048,PIBBLE,PIB,6670.58379333
2049,Wecan Group,WECAN,6460.13723574
2050,Impossible Finance Launchpad,IDIA,5642.97265311
2051,Helium IOT,IOT,5313.28067394
2052,ShibaBitcoin,SBBTC,5041.40274337
2053,GOLDAO,GOLDAO,4329.86227384
2054,EarthMeta,EMT,2785.84561104
2055,dHedge DAO,DHT,2699.4953698
2056,ChainSwap,CSWAP,2682.28379851
2057,PRIZM,PZM,1845.39926029
2058,ParaSwap,PSP,1386.04325958
2059,Rezerve Money,RZR,837.60425428
2060,Smog,SMOG,705.8124426
2061,AXEL,AXEL,614.83307449
2062,Ref Finance,REF,380.99839749
2063,Counterparty,XCP,314.10906125
2064,inSure DeFi,SURE,300.1316888
2065,iShares MSCI Emerging Markets Tokenized ETF (Ondo),EEMON,296.84645775
2066,Electronic USD,EUSD,271.75044863
2067,iShares Core US Aggregate Bond Tokenized ETF (Ondo),AGGON,262.50534786
2068,Kwenta,KWENTA,131.41372631
2069,GYEN,GYEN,121.63933754
2070,iShares TIPS Bond Tokenized ETF (Ondo),TIPON,26.72845967
2071,iShares MSCI EAFE Tokenized ETF (Ondo),EFAON,10.00959004
2072,iShares Russell 1000 Growth Tokenized ETF (Ondo),IWFON,9.98074722
2073,Gleec Coin,GLEEC,9.54575981
2074,Bytecoin,BCN,6.87328028
2075,Solend,SLND,3.36775586
2076,Usual USD,USD0,0.0
2077,lisUSD,LISUSD,0.0
2078,Venus BUSD,VBUSD,0.0
2079,iShares Core S&P 500 Tokenized ETF (Ondo),IVVON,0.0
2080,Bitcoin Diamond,BCD,0.0
2081,Ellipsis,EPS,0.0
2082,RAMP,RAMP,0.0
2083,ColossusXT,COLX,0.0
2084,Defigram,DFG,0.0
2085,Kujira,KUJI,0.0
2086,MUX Protocol,MCB,0.0
2087,ZEON,ZEON,0.0
2088,Nash,NEX,0.0
2089,Venus LINK,VLINK,0.0
2090,Venus LTC,VLTC,0.0
2091,SaitaChain Coin,STC,0.0
2092,Lift Dollar,USDL,0.0
2093,Venus DAI,VDAI,0.0
2094,BitBall,BTB,0.0
2095,Stake DAO,SDT,0.0
2096,Grape,GRP,0.0
2097,SpaceChain,SPC,0.0
2098,Litecoin Cash,LCC,0.0
2099,Arianee,ARIA20,0.0
2100,Unisocks,SOCKS,0.0
2101,LORDS,LORDS,0.0
2102,AGI ALPHA AGENT,AGIALPHA,0.0
2103,BitForex Token,BF,0.0
2104,iShares Russell 2000 Value Tokenized ETF (Ondo),IWNON,0.0
2105,Efinity Token,EFI,0.0
2106,Free Palestine,YAFA,0.0
2107,AIHub,AIH,0.0
2108,VestChain,VEST,0.0
